Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.267857494098026,0.134011022004072,0.0993771018542492,0,0,0,0.334978549466239,0.000241093147767613,-4.51194118929295E-06,-5.1404451476027E-08,0.000463470554587157,-7.37057463032119E-08,0.000692752126308934,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/base_link.STL,,X5-3;base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.000215974699123545,-0.000898328756616884,0.0160772624857307,0,0,0,0.408820372172434,0.000337442602052258,1.2647095595665E-06,-5.59754092842708E-05,0.000365908027791502,1.66540333089424E-05,0.000363778134561444,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link1.STL,,shoulder-3,Origin_shoulder,Axis1,link1,revolute,0.2607,0.12618,0.11049,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
link2,-0.0092272068840536,-0.00086853648340196,0.0564152269571175,0,0,0,0.641026805757363,0.000537404994155384,-6.60673300829398E-06,5.86491929414682E-05,0.00049633860154521,6.6066351399544E-06,0.000453534999106879,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link2.STL,,shoulder-3;X8-2,Origin_link23,,link2,fixed,-0.0079917,0.00146,-0.011902,0,0,2.8538,link1,0,0,0,,,,,,,,,,,,
link3,0.0152250000000007,-0.2406794491969,1.22124532708767E-15,0,0,0,0.0767858474939284,0.00238516903039351,6.83650879640786E-18,5.42101086242752E-20,1.9180269485857E-05,-1.31023311073988E-07,0.00236650479379691,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link3.STL,,first_link-2,Origin_link32,Axis2,link3,revolute,-7.7434E-05,-0.0008686,0.091902,-1.2203,0,0,link2,-1,0,0,0,0,0,0,,,,,,,,
link4,-0.0188514962883433,0.0938525862880993,-0.00122065965756527,0,0,0,0.308992204303723,0.00258352619779536,-2.48879834899467E-07,-8.01819495875166E-08,0.000108937112554982,6.55543308158493E-06,0.00249854049340643,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link4.STL,,first_link-2;X8-1,Origin_link4,,link4,fixed,0.015225,-0.4775,0,0,0,0,link3,0,0,0,,,,,,,,,,,,
link5,-0.194609657811397,-0.357306199284931,5.6621374255883E-15,0,0,0,0.0927282298042747,0.00521684059122845,3.85696452532246E-18,-1.0842021724855E-19,2.3218055140328E-05,-1.9073169877161E-08,0.00519424570842917,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link5.STL,,second_link-2,Origin_link5,Axis3,link5,revolute,0.14321,0.032,0,1.3414,0,0,link4,1,0,0,0,0,0,0,,,,,,,,
link6,0.0115000077719721,0.147438539818429,0.00112235859195009,0,0,0,0.252230038604757,0.00535054298205387,-5.14033129248475E-08,-7.37078627787525E-08,7.97914651847604E-05,-4.59409130374559E-06,0.00527865595451417,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link6.STL,,second_link-2;X5-1,Origin_link6,,link6,fixed,-0.19461,-0.6775,0,0,0,0,link5,0,0,0,,,,,,,,,,,,
link7,-0.000130288534892165,0.000920790745066791,0.0354068170810037,0,0,0,0.409613397509596,0.000339928573716477,-6.68632878896225E-06,5.88061853623033E-05,0.000365197077247767,-8.02558084709898E-08,0.000364462468927118,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link7.STL,,wrist-1,Origin_link7,Axis4,link7,revolute,0,0.032,0,1.5708,-0.70524,1.5708,link6,0,0,1,0,0,0,0,,,,,,,,
link8,-0.0235886510111271,0.000291555465911086,0.0501755583891659,0,0,0,0.569115198233791,0.000473630955707207,-6.61262137680022E-06,5.88575893414097E-05,0.000449607313720566,-4.65527624133826E-06,0.000421035879959335,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link8.STL,,wrist-1;X5-2,Origin_link8,,link8,fixed,0.0080774,0.0008686,0.0073225,0,0,0,link7,0,0,0,,,,,,,,,,,,
link9,-0.00013027915729813,0.000920791172653312,0.0803092442556865,0,0,0,0.409613320666264,0.000339928492220774,-6.68637100854192E-06,5.88062087022453E-05,0.000365197131396319,-8.02731373553025E-08,0.000364462456256996,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link9.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link9.STL,,wrist-2,Origin_link9,Axis5,link9,revolute,0,-0.0008686,0.091902,-1.5708,0.40899,1.5708,link8,0,0,1,0,0,0,0,,,,,,,,
link10,-0.00323354099177331,-0.00392762942961489,-0.00361444135571398,0,0,0,2.05264806100588,0.00102424628669426,-3.22645731448597E-05,-5.92808550746498E-05,0.00116807049539813,3.76130461632427E-05,0.0016508265788843,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link10.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Robot_assembly_gripper/meshes/link10.STL,,end_effector_v2-1;wrist-2,Origin_link10,,link10,fixed,-0.055,0,0.14413,3.1416,-1.5708,0,link9,0,0,0,,,,,,,,,,,,
